MOLECULE,SMILES
THA,NC1=C2CCCCC2=NC2=CC=CC=C12
THC,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1
CBDA,Oc1c([C@H]2[C@@H](CCC(=C2)C)C(=C)C)c(O)cc(c1C(=O)O)CCCCC
HC0,CC(=C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCCCNC2=C3CC=CC=C3NC3=C2CCCC3)c(C(O)=O)c1O
HC1,CC(=C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCCC(=O)NC2=C3C=CC=CC3NC3=C2CCCC3)c(C(O)=O)c1O
HC2,CC(=C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCC(=O)CCNC2=C3CC=CC=C3NC3=C2CCCC3)c(C(O)=O)c1O
HC3,CC(=C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CC(=O)CCCCNC2=C3CC=CC=C3NC3=C2CCCC3)c(C(O)=O)c1O
F,CC1=C2CCC=C[C@H]2c2ccc(CCNC(=O)CC3=C4C=CC=CC4=[NH+]C4=C3CCCC4)cc2O1
HT0,CC1=C[C@@H]2[C@@H](CC1)C(C)(C)Oc1cc(CCCCCCNC3=C4C=CC=CC4NC4=C3CCCC4)cc(O)c21
HT1,CC1=C[C@@H]2[C@@H](CC1)C(C)(C)Oc1cc(CCCCCC(=O)NC3=C4C=CC=CC4NC4=C3CCCC4)cc(O)c21
HT2,CC1=C[C@@H]2[C@@H](CC1)C(C)(C)Oc1cc(CCCC(=O)CCNC3=C4C=CC=CC4NC4=C3CCCC4)cc(O)c21
HT3,CC1=C[C@@H]2[C@@H](CC1)C(C)(C)Oc1cc(CC(=O)CCCCNC3=C4C=CC=CC4NC4=C3CCCC4)cc(O)c21
